country,prct_rpt_pollution,prct_env_satis_high,prct_env_satis_med,prct_env_satis_low,prct_job_satis_high,prct_job_satis_med,prct_job_satis_low,prct_life_satis_high,prct_life_satis_med,prct_life_satis_low,political_trust_rating,median_income,legal_trust_rating,prct_budget_veryhard,prct_budget_hard,prct_budget_somehard,prct_budget_someeasy,prct_budget_easy,prct_budget_veryeasy,prct_rpt_crime,prct_leisure_satis_high,prct_leisure_satis_med,prct_leisure_satis_low,med_income_underemp,prct_close_relat,prct_low_savings,avg_temp,avg_high_temp,avg_low_temp,avg_precipitation,life_expect,unemp_rate,police_trust_rating,gdp,prct_health_verygood,prct_health_good,prct_health_fair,prct_health_bad,prct_health_verybad,total_pop,prct_yng_adt_pop,avg_hrs_worked
Belgium,13.2,22.2,70.3,7.5,23.0,68.5,8.5,20.9,69.9,9.2,0.45999999999999996,21335,0.5,9.3,12.2,17.2,25.8,29.0,6.4,13.4,21.5,60.6,17.9,14.6,92.2,25.9,48.8,55.5,42.0,33.1,81.5,0.78,0.61,424660.3,29.8,43.9,17.0,7.2,2.0,11000638,18.4851460433477,37.0
Bulgaria,15.1,8.4,32.6,59.0,16.1,36.1,47.7,5.9,29.8,64.2,0.26,6742,0.3,28.9,32.8,28.5,7.3,2.1,0.3,25.0,14.6,33.9,51.5,11.9,95.3,54.2,49.4,59.3,43.4,24.7,74.9,0.76,0.36,48128.6,19.1,46.7,23.2,8.7,2.3,7364570,18.4325765115954,40.8
Czechia,13.5,33.5,48.7,17.8,29.6,51.4,19.0,21.3,53.3,25.4,0.37,12478,0.38,7.1,16.1,35.7,30.3,9.4,1.5,11.7,24.3,44.1,31.5,6.7,98.1,32.1,44.5,51.4,37.3,27.4,79.1,0.4,0.49000000000000005,176370.1,18.6,41.8,27.9,9.7,2.0,10436560,18.8624891726776,40.3
Denmark,6.8,52.2,36.9,10.9,44.4,46.4,9.2,42.7,46.6,10.6,0.5900000000000001,21355,0.75,3.2,6.8,16.9,30.7,26.2,16.1,8.4,41.4,40.9,17.7,10.7,95.5,24.5,46.0,51.4,41.6,23.9,80.9,0.62,0.79,282089.9,26.5,44.8,21.1,5.4,2.2,5560628,18.0820044066965,32.9
Germany,23.2,40.9,43.1,15.9,25.0,50.7,24.3,25.0,55.8,19.2,0.49000000000000005,21152,0.53,2.3,4.6,9.6,39.4,32.2,12.0,14.1,24.2,42.5,33.3,9.6,96.7,30.0,46.6,54.0,40.5,29.4,81.0,0.41,0.64,3159750.0,18.0,47.2,26.5,6.9,1.4,80219695,17.105589842993,35.1
Estonia,9.9,18.1,53.4,28.5,26.6,55.1,18.4,13.5,52.1,34.4,0.44000000000000006,11867,0.52,4.9,10.5,42.1,29.4,11.3,1.9,9.2,22.2,44.9,33.0,5.8,92.8,31.6,41.9,48.4,35.9,25.6,78.0,0.6799999999999999,0.6,21682.6,9.3,43.6,32.7,12.5,1.9,1294455,19.6883630562669,38.4
Ireland,4.6,43.7,46.2,10.1,28.3,51.7,20.0,30.6,52.7,16.7,0.32,18286,0.51,12.0,15.4,36.7,25.4,7.7,2.7,9.9,29.1,42.3,28.6,18.2,96.2,45.3,49.4,55.2,44.0,40.8,81.8,0.8400000000000001,0.6900000000000001,273238.2,41.7,41.1,13.7,2.8,0.8,4574888,20.6013349397843,35.9
Greece,19.6,18.3,45.2,36.5,14.0,48.3,37.7,12.8,51.8,35.5,0.2,9048,0.41,40.6,36.2,17.0,4.4,1.5,0.3,11.8,11.6,52.2,36.2,17.2,96.2,53.6,62.5,70.1,53.9,25.3,81.5,2.3600000000000003,0.5,176487.9,45.0,29.0,15.6,7.5,2.8,10816286,17.604416155416,42.3
Spain,10.1,23.7,58.9,17.4,19.4,59.1,21.5,18.4,58.4,23.2,0.19,15347,0.31,16.6,19.0,27.0,25.4,11.1,0.9,10.3,21.2,49.0,29.7,14.9,96.9,38.7,60.0,69.3,52.3,21.7,83.5,1.9600000000000002,0.54,1118743.0,15.6,56.9,20.6,5.5,1.4,46815910,16.6743314398887,37.7
France,14.1,27.9,61.6,10.5,20.0,64.7,15.4,16.1,64.8,19.1,0.3,20621,0.45,4.2,15.0,39.8,26.8,12.2,1.9,14.8,23.3,51.4,25.2,8.4,93.1,31.8,52.3,60.5,45.6,30.7,82.7,1.01,0.5599999999999999,2228568.0,21.9,44.5,25.5,7.1,1.0,64933400,18.5275004851124,37.3
Croatia,7.0,22.4,37.9,39.7,25.6,49.0,25.4,15.0,49.5,35.4,0.27999999999999997,8985,0.32999999999999996,20.4,31.0,36.3,9.1,2.8,0.4,3.0,24.5,42.1,33.4,13.0,94.5,57.7,55.1,62.3,48.0,41.1,78.2,1.31,0.610645161290323,46639.5,25.5,33.8,22.1,14.8,3.8,4284889,18.5512623547541,39.4
Italy,15.1,11.0,53.5,35.5,20.2,62.2,17.6,14.2,63.0,22.7,0.21000000000000002,16237,0.36,10.9,22.4,41.4,20.5,4.4,0.3,14.7,13.8,58.2,28.0,12.8,86.8,40.4,56.3,63.8,49.1,30.4,83.4,1.17,0.58,1689824.0,10.5,60.4,21.4,6.4,1.3,59433744,15.4749732744415,37.0
Cyprus,9.2,13.4,49.3,37.3,28.2,51.8,20.0,14.2,48.8,37.0,0.26,16173,0.36,29.4,30.4,25.2,10.5,3.8,0.7,9.8,24.0,48.0,28.1,10.6,97.0,56.6,66.1,75.1,57.5,15.4,82.7,1.3,0.47000000000000003,18490.2,44.1,34.6,16.8,3.8,0.7,840407,23.3226282027637,39.2
Latvia,17.2,26.2,54.7,19.1,25.8,56.9,17.3,12.6,56.6,30.8,0.36,9257,0.45,12.4,26.9,38.7,16.5,4.6,0.9,10.0,21.4,57.8,20.8,7.2,91.8,60.0,42.9,48.8,38.2,23.2,74.9,0.96,0.54,25037.7,5.1,42.1,37.2,12.6,3.0,2070371,20.4428578259645,38.7
Lithuania,15.6,42.1,44.9,13.0,29.6,55.4,15.0,18.8,53.3,27.9,0.45,9364,0.49000000000000005,6.9,22.7,50.4,16.3,3.4,0.3,3.4,22.0,52.4,25.6,10.2,96.8,53.2,43.4,49.6,36.9,26.3,74.9,0.79,0.6,38849.4,6.6,36.8,39.6,14.2,2.7,3043429,20.526780812038,38.5
Luxembourg,16.1,33.9,56.9,9.2,30.4,55.1,14.5,25.7,59.5,14.8,0.5,28663,0.53,4.2,8.2,16.7,32.4,29.9,8.6,12.2,30.0,47.5,22.5,6.6,87.1,21.9,46.7,54.6,41.2,32.4,82.7,0.63,0.61,53303.0,23.4,45.8,21.2,7.8,1.8,512353,18.9406522456197,37.5
Hungary,12.8,15.8,51.9,32.3,23.0,55.7,21.3,11.3,50.2,38.5,0.45,8267,0.51,17.1,25.7,38.1,15.6,3.1,0.4,9.7,15.4,49.4,35.2,8.2,97.2,50.8,50.3,58.3,42.7,22.7,76.2,0.51,0.5700000000000001,113903.8,17.6,42.0,27.1,10.4,2.8,9937628,18.3451221961619,39.7
Malta,30.2,31.0,46.3,22.7,27.2,59.7,13.1,21.9,57.7,20.4,0.5700000000000001,17264,0.49000000000000005,6.7,13.2,24.6,40.3,13.5,1.6,10.4,23.6,46.1,30.3,7.3,96.1,20.8,65.7,72.3,59.1,22.0,82.6,0.47000000000000003,0.63,10344.1,22.3,50.6,23.9,2.6,0.5,417432,20.5906590774066,38.7
Netherlands,13.2,31.3,64.7,4.0,22.9,71.7,5.4,26.1,68.3,5.6,0.55,21189,0.62,3.0,9.6,15.1,19.2,41.1,12.0,16.9,18.9,75.2,5.9,9.7,90.9,22.5,49.2,55.1,43.7,29.7,81.7,0.6,0.6599999999999999,708337.0,22.5,53.4,19.2,4.2,0.7,16655799,18.2699791225867,30.3
Austria,10.7,57.2,33.3,9.5,42.2,47.6,10.2,37.9,49.3,12.9,0.44000000000000006,23071,0.6,4.3,8.5,26.1,29.7,21.4,9.9,12.4,35.3,41.4,23.3,8.1,95.8,22.6,44.6,54.2,37.4,39.3,81.8,0.6,0.72,356237.6,31.9,38.3,21.6,6.4,1.7,8401940,18.6775435197109,36.5
Poland,11.4,39.7,42.0,18.2,32.0,48.2,19.8,29.4,50.7,19.9,0.35,10865,0.42000000000000004,8.4,16.4,38.2,26.5,8.3,2.2,5.6,27.8,42.3,29.9,6.4,95.9,37.9,44.6,56.2,33.8,24.6,78.0,0.62,0.52,426547.5,15.9,42.7,27.8,11.0,2.7,38044565,21.9158084735625,40.7
Portugal,13.1,19.6,42.6,37.8,24.5,50.4,25.1,13.8,45.7,40.5,0.16999999999999998,10805,0.29,17.0,19.7,34.5,21.3,7.0,0.5,7.8,23.9,40.6,35.5,9.1,90.4,38.3,60.4,68.3,54.2,32.5,81.3,1.1199999999999999,0.54,186480.5,8.7,39.0,36.4,12.1,3.8,10562178,17.0740447661458,39.4
Romania,14.5,29.1,55.8,15.0,20.4,61.6,18.0,19.7,63.7,16.7,0.48,4724,0.58,18.1,26.0,40.9,11.7,2.6,0.7,14.1,18.0,59.6,22.4,8.2,95.6,54.5,47.6,57.1,41.1,24.7,75.3,0.5900000000000001,0.64,170393.6,26.6,43.9,22.3,6.0,1.2,20121641,18.7753275192615,39.9
Slovenia,15.9,42.3,40.1,17.6,29.1,51.5,19.3,20.4,55.2,24.4,0.18,15250,0.27,8.0,17.9,37.2,22.8,12.2,1.8,8.5,24.7,45.7,29.6,7.4,96.4,41.7,46.4,53.8,38.7,49.1,81.2,0.8,0.55,40357.2,20.3,44.2,25.5,8.2,1.7,2050189,18.3087998228456,39.3
Slovakia,9.3,22.8,48.9,28.3,29.2,48.5,22.3,25.0,48.6,26.4,0.35,10466,0.36,10.1,19.5,41.3,23.6,4.7,0.7,6.9,26.6,44.0,29.4,6.5,97.9,37.9,43.2,53.0,36.0,26.2,77.3,0.97,0.44000000000000006,81226.1,22.4,44.1,21.8,9.1,2.6,5397036,21.9085994608893,40.1
Finland,7.2,34.7,56.3,9.0,40.8,54.6,4.7,38.6,55.5,6.0,0.6,19997,0.72,2.3,4.6,17.6,32.8,25.8,16.9,6.5,35.9,51.6,12.5,11.4,98.1,29.4,36.6,43.9,31.3,21.9,81.5,0.8800000000000001,0.82,216073.0,20.2,50.1,23.8,5.0,0.9,5375276,18.7139599901475,36.7
Sweden,6.3,34.7,51.0,14.4,34.5,52.5,13.0,34.4,56.6,9.0,0.55,20955,0.67,3.1,4.5,11.1,33.1,26.1,22.1,12.7,33.2,44.9,21.9,8.5,97.3,20.7,40.3,46.7,33.6,22.6,82.4,0.7,0.71,463147.5,29.0,46.0,19.2,4.5,1.2,9482855,19.3862924193189,36.4
United Kingdom,9.0,38.2,50.6,11.3,28.0,49.6,22.4,27.8,53.2,19.1,0.38,17296,0.55,6.8,9.5,24.3,32.9,16.5,10.0,16.8,29.0,41.7,29.3,11.3,93.1,38.0,48.8,55.3,42.9,29.7,81.2,0.48,0.64,2403382.6,30.8,38.1,22.2,6.9,1.9,63182180,19.9423160137874,36.6
Iceland,7.9,29.2,56.6,14.2,42.3,48.0,9.6,38.1,52.4,9.5,0.37,22193,0.5700000000000001,6.2,7.9,20.9,34.9,15.7,14.3,2.2,35.0,43.0,22.0,4.3,96.4,30.9,38.5,43.1,34.2,38.1,82.2,0.3,0.77,18646.1,38.3,37.7,17.4,5.0,1.5,315556,21.5933146573033,39.3
Norway,6.8,48.1,45.8,6.1,39.1,53.6,7.2,35.6,54.1,10.3,0.5900000000000001,27670,0.72,2.0,3.4,8.7,29.8,33.9,22.2,4.6,30.2,45.3,24.5,7.7,97.1,18.1,39.8,44.1,33.8,44.2,82.5,0.47000000000000003,0.75,335747.5,28.8,48.4,15.1,6.4,1.3,4979954,19.5865463817537,33.8
Switzerland,8.9,41.8,46.2,12.0,36.6,54.9,8.5,38.5,53.5,8.0,0.6599999999999999,27692,0.7,3.7,8.9,16.5,29.0,30.0,11.9,10.9,25.8,46.7,27.5,5.5,95.7,21.0,42.5,50.8,35.8,46.7,83.7,0.5,0.74,605753.7,33.2,44.5,17.8,3.8,0.7,7954662,18.4457868857281,34.7
